rows,cols,beta,edge
SID530075,S327,56.9788202971902,SID530075-S327
SID530331,S327,57.3005131206293,SID530331-S327
SID530394,S327,63.8679347538454,SID530394-S327
S141,S327,62.4796881897137,S141-S327
S153,S327,61.8061698573974,S153-S327
S155,S327,58.7234350651918,S155-S327
S225,S327,59.0634979424965,S225-S327
S249,S327,64.8940913519849,S249-S327
S268,S327,60.6615469796421,S268-S327
S305,S327,61.0707199572684,S305-S327
SID31428,S334,62.6168778915231,SID31428-S334
SID31512,S334,59.8628768781116,SID31512-S334
SID31766,S334,64.4309338694907,SID31766-S334
SID530052,S334,64.0218259881459,SID530052-S334
SID530075,S334,63.056597493333,SID530075-S334
SID530215,S334,61.8105098564799,SID530215-S334
SID530315,S334,63.3542766187886,SID530315-S334
S153,S334,63.3779139781035,S153-S334
S195,S334,64.8140365009103,S195-S334
S198,S334,63.3638967513591,S198-S334
S258,S334,63.1865922189865,S258-S334
S268,S334,62.5996309945074,S268-S334
S304,S334,64.7949573824944,S304-S334
S305,S334,61.4148288632363,S305-S334
SID530364,S344,62.581827516633,SID530364-S344
SID530394,S344,64.8859098623711,SID530394-S344
SID531414,S344,61.4433257855855,SID531414-S344
SID532796,S344,62.6194829934022,SID532796-S344
S158,S344,62.0157488494803,S158-S344
S225,S344,64.2675394253334,S225-S344
S229,S344,61.548538438967,S229-S344
S258,S344,61.7438833086089,S258-S344
S269,S344,61.4832018765071,S269-S344
S304,S344,64.4390228994828,S304-S344
S304,S349,63.7939587138657,S304-S349
S244,S356,64.7654720510602,S244-S356
S258,S356,63.7462596080372,S258-S356
S344,S356,60.8089017935179,S344-S356
SID530052,S367,64.6850729526925,SID530052-S367
S356,S367,61.4534172265129,S356-S367
S229,S370,63.7626790114805,S229-S370
S344,S370,63.9411127822712,S344-S370
SID31021,S372,60.6099085944267,SID31021-S372
SID31428,S372,59.6577956481044,SID31428-S372
SID31512,S372,58.4698123892875,SID31512-S372
SID31714,S372,64.2551792853097,SID31714-S372
SID31766,S372,62.947709401858,SID31766-S372
S112,S372,63.7475266569336,S112-S372
S195,S372,63.0560302197852,S195-S372
S205,S372,64.8100403266953,S205-S372
S258,S372,60.7853063743516,S258-S372
S268,S372,64.2509080056168,S268-S372
S344,S372,64.2504758876566,S344-S372
SID31009,S380,60.8921121937996,SID31009-S380
SID31021,S380,64.5054220459082,SID31021-S380
SID31428,S380,62.8364314952689,SID31428-S380
SID31452,S380,63.6301501001881,SID31452-S380
SID31512,S380,62.2779450379897,SID31512-S380
SID31519,S380,59.3602558836325,SID31519-S380
SID530075,S380,61.1360753492427,SID530075-S380
SID530215,S380,64.1318518927043,SID530215-S380
SID530331,S380,58.6454623224923,SID530331-S380
S153,S380,61.0619541874894,S153-S380
S155,S380,63.6883573451204,S155-S380
S198,S380,64.6299915837876,S198-S380
S225,S380,62.6694486477811,S225-S380
S268,S380,59.723120288075,S268-S380
S299,S380,64.419194198232,S299-S380
S304,S380,64.4913933708916,S304-S380
S305,S380,62.4737666122775,S305-S380
S327,S380,64.1778332943307,S327-S380
SID31009,S381,61.0633219578496,SID31009-S381
SID31328,S381,64.1545784520807,SID31328-S381
SID31452,S381,63.3072512453865,SID31452-S381
SID31519,S381,57.7825224360275,SID31519-S381
SID530075,S381,58.5520257572405,SID530075-S381
SID530119,S381,62.1122694287991,SID530119-S381
SID530215,S381,64.9155750668228,SID530215-S381
S141,S381,64.365603876484,S141-S381
S146,S381,64.0144316684731,S146-S381
S153,S381,59.2453825564692,S153-S381
S155,S381,59.8198912718509,S155-S381
S198,S381,60.9533984075179,S198-S381
S249,S381,63.8788720073662,S249-S381
S268,S381,58.9017471998813,S268-S381
S305,S381,59.6462309266738,S305-S381
SID31071,S384,63.7339255959071,SID31071-S384
SID31519,S384,63.9416929395353,SID31519-S384
S155,S384,63.8136618404829,S155-S384
S225,S384,64.7576759451517,S225-S384
S249,S384,63.6838762002213,S249-S384
S268,S384,63.9895662105354,S268-S384
S304,S384,64.7777841680202,S304-S384
S305,S384,64.6008747220842,S305-S384
SID31428,S389,64.9535926926317,SID31428-S389
SID31452,S393,64.9379214115794,SID31452-S393
SID530075,S393,64.6658283522391,SID530075-S393
S268,S393,61.0503654888436,S268-S393
SID530075,S395,63.0653186249564,SID530075-S395
SID531414,S395,63.1728932142893,SID531414-S395
S158,S395,61.707807544615,S158-S395
S186,S395,64.9854493859107,S186-S395
S225,S395,56.4237996162241,S225-S395
S229,S395,63.352595427018,S229-S395
S243,S395,59.9158060672718,S243-S395
S268,S395,62.627704156587,S268-S395
S288,S395,63.4245837227839,S288-S395
S344,S395,64.5067528297598,S344-S395
SID31360,S398,64.2957963597912,SID31360-S398
SID31428,S398,61.962625510377,SID31428-S398
SID31766,S398,62.8969716669656,SID31766-S398
SID530331,S398,58.9940672686482,SID530331-S398
SID530394,S398,64.070649488191,SID530394-S398
SID531414,S398,64.3660783321694,SID531414-S398
S205,S398,64.4137986779827,S205-S398
S258,S398,61.769509772809,S258-S398
S268,S398,64.5974882178503,S268-S398
S269,S398,63.9934668265328,S269-S398
S327,S398,64.7099204720112,S327-S398
S344,S398,57.9454542623809,S344-S398
S372,S398,64.7633441849004,S372-S398
SID31009,S420,63.6563491092704,SID31009-S420
SID31766,S420,62.8447554064779,SID31766-S420
SID530331,S420,64.6892188551305,SID530331-S420
SID531414,S420,64.6665471057939,SID531414-S420
S158,S420,64.1280805460691,S158-S420
S195,S420,64.2903127007801,S195-S420
S225,S420,63.5312720901671,S225-S420
S268,S420,61.5669729547362,S268-S420
SID31009,S421,64.8067210578177,SID31009-S421
SID31519,S421,62.8085323491045,SID31519-S421
SID530075,S421,64.5194477743203,SID530075-S421
SID530119,S421,64.5515282560669,SID530119-S421
SID530258,S421,64.4152593336107,SID530258-S421
SID531414,S421,62.6064354779385,SID531414-S421
S268,S421,64.6373181756774,S268-S421
S395,S421,63.871155474498,S395-S421
S186,S424,64.7700881845496,S186-S424
S229,S424,62.6966273679209,S229-S424
S158,S432,64.8774129580534,S158-S432
S205,S432,64.5274761767037,S205-S432
S268,S432,63.0854734794309,S268-S432
S269,S432,63.6062233309633,S269-S432
S344,S432,61.327912622925,S344-S432
S420,S432,62.3362028277948,S420-S432
SID31416,S439,64.7931043470726,SID31416-S439
S344,S439,63.7578148073473,S344-S439
S347,S439,64.4523978530119,S347-S439
S356,S439,61.1971060476637,S356-S439
S420,S439,62.7534791785763,S420-S439
SID31071,S441,62.4894220275497,SID31071-S441
SID31333,S441,64.9995374458253,SID31333-S441
SID31379,S441,63.0675069716788,SID31379-S441
SID31512,S441,60.8703721814616,SID31512-S441
SID31519,S441,62.6055634833713,SID31519-S441
SID530052,S441,64.0130748462934,SID530052-S441
SID530075,S441,61.9577258470313,SID530075-S441
SID530119,S441,59.0934571908175,SID530119-S441
SID530215,S441,63.299981248463,SID530215-S441
SID530258,S441,57.0476888728411,SID530258-S441
S112,S441,63.6019257612697,S112-S441
S153,S441,62.8275439064983,S153-S441
S225,S441,62.8256301505268,S225-S441
S268,S441,60.4783277628052,S268-S441
S304,S441,64.2019602372547,S304-S441
S305,S441,64.1005783984965,S305-S441
S334,S441,63.8362640755041,S334-S441
S421,S441,60.1638187784024,S421-S441
SID531414,S451,63.6241162148424,SID531414-S451
S356,S451,64.9679015174302,S356-S451
SID31009,S456,64.2322514902436,SID31009-S456
SID31328,S456,64.0921977228724,SID31328-S456
SID530075,S456,59.8022128439077,SID530075-S456
SID530331,S456,64.8584861916912,SID530331-S456
SID530364,S456,64.2483975727263,SID530364-S456
SID530394,S456,59.5595504614907,SID530394-S456
SID531414,S456,63.9753057461929,SID531414-S456
S153,S456,64.1413746361899,S153-S456
S158,S456,64.9044792299875,S158-S456
S225,S456,64.640038116301,S225-S456
S229,S456,61.2360296675351,S229-S456
S268,S456,63.8200370093863,S268-S456
SID31009,S457,64.0551294926043,SID31009-S457
SID31071,S457,64.5463374201918,SID31071-S457
SID31428,S457,63.1681257789691,SID31428-S457
SID31452,S457,64.4653405239901,SID31452-S457
SID31512,S457,60.8646136291317,SID31512-S457
SID31714,S457,62.3991780708793,SID31714-S457
SID31766,S457,62.3418328030121,SID31766-S457
SID530075,S457,59.5778458132859,SID530075-S457
SID530258,S457,62.6276332121085,SID530258-S457
S153,S457,64.1174652792992,S153-S457
S258,S457,62.842965528018,S258-S457
S268,S457,60.5762570020267,S268-S457
S305,S457,64.1681496384922,S305-S457
S441,S457,62.8330335054602,S441-S457
SID31009,S463,63.3192201442441,SID31009-S463
SID31328,S463,61.5395389102565,SID31328-S463
SID31360,S463,64.7198955043345,SID31360-S463
SID31519,S463,59.0890056554665,SID31519-S463
SID530075,S463,59.7969526012711,SID530075-S463
SID530215,S463,62.2489256351453,SID530215-S463
SID530258,S463,64.7367453629393,SID530258-S463
SID530331,S463,61.1180942197759,SID530331-S463
S141,S463,62.3548460235555,S141-S463
S143,S463,63.3589393556742,S143-S463
S153,S463,60.8869910359003,S153-S463
S155,S463,60.2341262824843,S155-S463
S158,S463,60.1575147502615,S158-S463
S186,S463,59.6508920280537,S186-S463
S198,S463,61.3853713175746,S198-S463
S225,S463,58.4770264550333,S225-S463
S229,S463,62.9729330950683,S229-S463
S243,S463,58.6552728580697,S243-S463
S249,S463,61.0616940366495,S249-S463
S268,S463,56.4026810289145,S268-S463
S304,S463,61.175764058675,S304-S463
S305,S463,60.2745886631013,S305-S463
S327,S463,62.5459911266435,S327-S463
S380,S463,64.7797954497709,S380-S463
S381,S463,63.497281635016,S381-S463
S395,S463,64.0128953104063,S395-S463
S420,S463,64.6042981925957,S420-S463
S424,S463,64.9724508202927,S424-S463
S441,S463,63.8447045089336,S441-S463
SID31009,S472,62.1885884511881,SID31009-S472
SID31071,S472,62.5424092150589,SID31071-S472
SID31129,S472,62.1884078962987,SID31129-S472
SID31333,S472,63.879516847128,SID31333-S472
SID31360,S472,63.4359996381192,SID31360-S472
SID31428,S472,62.7981476501961,SID31428-S472
SID31512,S472,57.0081278918271,SID31512-S472
SID31766,S472,59.1802116335295,SID31766-S472
SID530075,S472,64.1616141328402,SID530075-S472
SID530368,S472,61.2429695680095,SID530368-S472
S112,S472,61.8167325281828,S112-S472
S155,S472,64.8053152502757,S155-S472
S244,S472,64.8028445885839,S244-S472
S258,S472,62.8369347130169,S258-S472
S268,S472,64.4881484450616,S268-S472
S372,S472,64.2217154872436,S372-S472
S398,S472,62.8906997943944,S398-S472
S421,S472,64.4961071293003,S421-S472
S441,S472,64.8105541337607,S441-S472
S457,S472,63.1650278911655,S457-S472
SID31328,S476,61.2125048506544,SID31328-S476
SID31360,S476,61.4016237607243,SID31360-S476
